stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:OCE87571240,"gare de St-Pierre-des-Corps",,47.38573204,0.72505388,,,1,
StopArea:OCE87571000,"gare de Tours",,47.38982238,0.69350655,,,1,
StopArea:OCE87574152,"gare de Baule",,47.81194416,1.66862377,,,1,
StopArea:OCE87571273,"gare de Montlouis",,47.39155869,0.81752138,,,1,
StopArea:OCE87543017,"gare de Les Aubrais-Orléans",,47.92691735,1.90608452,,,1,
StopArea:OCE87722025,"gare de Lyon-Perrache",,45.74849243,4.82574778,,,1,
StopArea:OCE87723197,"gare de Lyon-Part-Dieu",,45.76059047,4.85944146,,,1,
StopArea:OCE87721423,"gare de Lozanne",,45.8541443,4.68146326,,,1,
StopArea:OCE87721761,"gare de Chessy (Rhône)",,45.88554413,4.62250565,,,1,
StopArea:OCE87721787,"gare de Bois-d'Oingt-Légny",,45.90658772,4.57558831,,,1,
StopArea:OCE87721829,"gare de Chamelet",,45.9816075,4.50710628,,,1,
StopArea:OCE87721860,"gare de Lamure-sur-Azergues",,46.06109735,4.49213145,,,1,
StopArea:OCE87694778,"gare de Chauffailles",,46.20738908,4.34568726,,,1,
StopArea:OCE87694737,"gare de La Clayette-Baudemont",,46.28790346,4.29833765,,,1,
StopArea:OCE87694687,"gare de Paray-le-Monial",,46.44726081,4.1136289,,,1,
StopArea:OCE87694695,"gare de Digoin",,46.48520023,3.98764016,,,1,
StopArea:OCE87694869,"gare de Gilly-sur-Loire",,46.53705453,3.78224455,,,1,
StopArea:OCE87696427,"gare de Dompierre-Sept-Fons",,46.52642363,3.67533359,,,1,
StopArea:OCE87696328,"gare de Moulins-sur-Allier",,46.56130953,3.33919452,,,1,
StopArea:OCE87696294,"gare de St-Pierre-le-Moûtier",,46.79292194,3.11140352,,,1,
StopArea:OCE87696260,"gare de Saincaize",,46.93117701,3.07165339,,,1,
StopArea:OCE87576207,"gare de Bourges",,47.09409945,2.3942365,,,1,
StopArea:OCE87576009,"gare de Vierzon",,47.22651956,2.05983475,,,1,
StopArea:OCE87576884,"gare de Villefranche-sur-Cher",,47.29474509,1.76803707,,,1,
StopArea:OCE87576876,"gare de Gièvres",,47.27873761,1.66782445,,,1,
StopArea:OCE87576868,"gare de Selles-sur-Cher",,47.28160183,1.54615406,,,1,
StopArea:OCE87574897,"gare de St-Aignan-Noyers",,47.28673265,1.38366578,,,1,
StopArea:OCE87574855,"gare de Montrichard",,47.34358295,1.17182504,,,1,
StopArea:OCE87574491,"gare de Chenonceaux",,47.33065736,1.06539488,,,1,
StopArea:OCE87763607,"gare de Briançon",,44.88980771,6.63295535,,,1,
StopArea:OCE87763557,"gare de L'Argentière-les-Ecrins",,44.7910068,6.55640777,,,1,
StopArea:OCE87763508,"gare de Montdauphin-Guillestre",,44.67460414,6.61562557,,,1,
StopArea:OCE87763466,"gare de Embrun",,44.56696019,6.49673937,,,1,
StopArea:OCE87763425,"gare de Chorges",,44.54570494,6.27205927,,,1,
StopArea:OCE87763003,"gare de Gap",,44.56369648,6.0856963,,,1,
StopArea:OCE87763300,"gare de Veynes-Dévoluy",,44.53199766,5.81583098,,,1,
StopArea:OCE87761874,"gare de Luc-en-Diois",,44.61368951,5.45462877,,,1,
StopArea:OCE87761841,"gare de Die",,44.75821543,5.36326718,,,1,
StopArea:OCE87761817,"gare de Saillans",,44.69438568,5.19418085,,,1,
StopArea:OCE87761783,"gare de Crest",,44.73018811,5.01611173,,,1,
StopArea:OCE87761247,"gare de Livron",,44.77959821,4.83056725,,,1,
StopArea:OCE87761007,"gare de Valence-Ville",,44.92807545,4.89330406,,,1,
StopArea:OCE87763029,"gare de Valence-TGV",,44.99144811,4.97870416,,,1,
StopArea:OCE87761650,"gare de Romans-Bourg-de-Péage",,45.04886833,5.04949462,,,1,
StopArea:OCE87763755,"gare de Laragne",,44.31648398,5.81893421,,,1,
StopArea:OCE87751230,"gare de Château-Arnoux-St-Auban",,44.06154356,5.99730721,,,1,
StopArea:OCE87751321,"gare de Manosque-Gréoux",,43.82341612,5.79408626,,,1,
StopArea:OCE87751404,"gare de Aix-en-Provence",,43.52286946,5.44532952,,,1,
StopArea:OCE87751420,"gare de Gardanne",,43.45601459,5.46333247,,,1,
StopArea:OCE87751008,"gare de Marseille-St-Charles",,43.30273442,5.38065075,,,1,
StopArea:OCE87763722,"gare de Serres",,44.42465281,5.71846416,,,1,
StopArea:OCE87751206,"gare de Sisteron",,44.19020102,5.94657551,,,1,
StopArea:OCE87751271,"gare de La Brillane-Oraison",,43.9248115,5.89226073,,,1,
StopArea:OCE87751370,"gare de Meyrargues",,43.6440238,5.53957417,,,1,
StopArea:OCE87751826,"gare de Saint-Antoine",,43.36942319,5.35810681,,,1,
StopArea:OCE87751842,"gare de Ste-Marthe-en-Provence",,43.3392698,5.39041134,,,1,
StopArea:OCE87751438,"gare de Simiane",,43.434726,5.42601771,,,1,
StopArea:OCE87759290,"gare de Picon-Busserine.",,43.33115809,5.39325961,,,1,
StopArea:OCE87759316,"gare de St-Joseph-Le-Castellas.",,43.3523328,5.37462924,,,1,
StopArea:OCE87751800,"gare de Septèmes",,43.4031142,5.37013919,,,1,
StopArea:OCE87755009,"gare de Toulon",,43.1283241,5.92946824,,,1,
StopArea:OCE87755447,"gare de Les Arcs-Draguignan",,43.45573229,6.48246475,,,1,
StopArea:OCE87757500,"gare de Fréjus",,43.43202861,6.73294264,,,1,
StopArea:OCE87757526,"gare de St-Raphaël-Valescure",,43.42360755,6.76901295,,,1,
StopArea:OCE87757625,"gare de Cannes",,43.55392121,7.01972745,,,1,
StopArea:OCE87757674,"gare de Antibes",,43.5857923,7.11952151,,,1,
StopArea:OCE87756056,"gare de Nice-Ville",,43.70471606,7.2617967,,,1,
StopArea:OCE87755371,"gare de Carnoules",,43.297538,6.18616658,,,1,
StopArea:OCE87751784,"gare de La Ciotat",,43.19958673,5.63267654,,,1,
StopArea:OCE87757591,"gare de Mandelieu-la-Napoule",,43.52388672,6.94132331,,,1,
StopArea:OCE87747006,"gare de Grenoble",,45.19147011,5.71453741,,,1,
StopArea:OCE87761759,"gare de Tullins-Fures",,45.30093925,5.49215576,,,1,
StopArea:OCE87761718,"gare de St-Marcellin",,45.15089804,5.32359493,,,1,
StopArea:OCE87761684,"gare de St-Hilaire-St-Nazaire",,45.07131948,5.2438474,,,1,
StopArea:OCE87747329,"gare de Moirans",,45.32214828,5.58196651,,,1,
StopArea:OCE87761726,"gare de Vinay",,45.20793946,5.41017663,,,1,
StopArea:OCE87741009,"gare de Chambéry-Chal.-les-Eaux",,45.57104551,5.91980692,,,1,
StopArea:OCE87741181,"gare de Montmélian",,45.50307204,6.04312954,,,1,
StopArea:OCE87747493,"gare de Pontcharra-sur-Bréda",,45.43404688,6.00780575,,,1,
StopArea:OCE87747477,"gare de Goncelin",,45.34196564,5.97411365,,,1,
StopArea:OCE87747451,"gare de Brignoud",,45.26246345,5.90143131,,,1,
StopArea:OCE87417501,"gare de Lancey",,45.23448106,5.8809334,,,1,
StopArea:OCE87747402,"gare de Grenoble U.-Gières",,45.18490672,5.78473625,,,1,
StopArea:OCE87725895,"gare de Echirolles",,45.1527177,5.71992067,,,1,
StopArea:OCE87747352,"gare de St-Egrève-St-Robert",,45.23570146,5.67119196,,,1,
StopArea:OCE87747691,"gare de Moirans-Galifette",,45.32400594,5.56496951,,,1,
StopArea:OCE87761742,"gare de Poliénas",,45.25590267,5.47376633,,,1,
StopArea:OCE87746008,"gare de Annecy",,45.90206721,6.12182569,,,1,
StopArea:OCE87746149,"gare de Rumilly",,45.86306575,5.94795935,,,1,
StopArea:OCE87746115,"gare de Albens",,45.78613332,5.94855071,,,1,
StopArea:OCE87746107,"gare de Grésy-sur-Aix",,45.72451012,5.9221349,,,1,
StopArea:OCE87741132,"gare de Aix-les-Bains-le-Revard",,45.68786503,5.90935175,,,1,
StopArea:OCE87764001,"gare de Montélimar",,44.55900478,4.74479014,,,1,
StopArea:OCE87764308,"gare de Pierrelatte",,44.37458042,4.70375977,,,1,
StopArea:OCE87764357,"gare de Bollène-la-Croisière",,44.27153987,4.70795796,,,1,
StopArea:OCE87765107,"gare de Orange",,44.13731106,4.81950596,,,1,
StopArea:OCE87765008,"gare de Avignon-Centre",,43.94188067,4.80527389,,,1,
StopArea:OCE87745679,"gare de Evian-les-Bains",,46.39789046,6.5774847,,,1,
StopArea:OCE87745646,"gare de Thonon-les-Bains",,46.36898206,6.48155805,,,1,
StopArea:OCE87745596,"gare de Bons-en-Chablais",,46.2700392,6.36616289,,,1,
StopArea:OCE87745497,"gare de Annemasse",,46.1992378,6.23639351,,,1,
StopArea:OCE87746511,"gare de Reignier",,46.12562311,6.26754486,,,1,
StopArea:OCE87746305,"gare de La Roche-sur-Foron",,46.067678,6.30374377,,,1,
StopArea:OCE87746248,"gare de Groisy-Thorens-la-Caill",,46.01115651,6.1757648,,,1,
StopArea:OCE87746206,"gare de Pringy",,45.93949303,6.12338132,,,1,
StopArea:OCE87747287,"gare de Voiron",,45.36400762,5.59491637,,,1,
StopArea:OCE87723429,"gare de Bourgoin-Jallieu",,45.58396938,5.27334626,,,1,
StopArea:OCE87723395,"gare de La Verpillière",,45.62760423,5.15075329,,,1,
StopArea:OCE87723478,"gare de La Tour-du-Pin",,45.56023084,5.44955125,,,1,
StopArea:OCE87722587,"gare de Vienne",,45.52121775,4.87431398,,,1,
StopArea:OCE87722678,"gare de Le Péage-de-Roussillon",,45.37166385,4.79541695,,,1,
StopArea:OCE87761163,"gare de Tain",,45.07218697,4.83975668,,,1,
StopArea:OCE87753657,"gare de Arles",,43.68484578,4.63203021,,,1,
StopArea:OCE87753004,"gare de Miramas",,43.58074837,4.99961066,,,1,
StopArea:OCE87761494,"gare de St-Peray",,44.94809055,4.85024963,,,1,
StopArea:OCE87764472,"gare de Le Teil",,44.55257539,4.68599873,,,1,
StopArea:OCE87439554,"gare de Vitrolles-Aér-Marseille",,43.4424969,5.23713135,,,1,
StopArea:OCE87761460,"gare de Tournon-Centre",,45.06321305,4.83433959,,,1,
StopArea:OCE87722322,"gare de Ste Colombe les Vienne",,46.12886016,5.60128315,,,1,
StopArea:OCE87765206,"gare de Sorgues-Chât.du-Pape",,44.00541973,4.87561512,,,1,
StopArea:OCE87765198,"gare de Bédarrides",,44.04076996,4.89312161,,,1,
StopArea:OCE87765180,"gare de Courthézon",,44.09000285,4.8881812,,,1,
StopArea:OCE87764290,"gare de Donzère",,44.44263142,4.7051311,,,1,
StopArea:OCE87761262,"gare de Loriol",,44.75449946,4.81724204,,,1,
StopArea:OCE87761130,"gare de St-Vallier-sur-Rhône",,45.18568548,4.81433982,,,1,
StopArea:OCE87761106,"gare de St-Rambert-d'Albon",,45.29782226,4.81063322,,,1,
StopArea:OCE87722652,"gare de St-Clair-les-Roches",,45.45038826,4.76991727,,,1,
StopArea:OCE87753681,"gare de St-Martin-de-Crau",,43.62237428,4.80027977,,,1,
StopArea:OCE87753202,"gare de St-Chamas",,43.55113951,5.04025419,,,1,
StopArea:OCE87753251,"gare de Rognac",,43.48662592,5.23067354,,,1,
StopArea:OCE87753285,"gare de Pas-des-Lanciers",,43.40962657,5.25383065,,,1,
StopArea:OCE87751602,"gare de L'Estaque",,43.363632,5.32133906,,,1,
StopArea:OCE87765412,"gare de Montfavet",,43.9326387,4.87398129,,,1,
StopArea:OCE87765420,"gare de Morières-lès-Avignon",,43.9414675,4.90821444,,,1,
StopArea:OCE87765438,"gare de St-Saturnin-d'Avignon",,43.95318161,4.93530366,,,1,
StopArea:OCE87765446,"gare de Gadagne",,43.92968136,4.95684309,,,1,
StopArea:OCE87765453,"gare de Le Thor",,43.92653157,4.99628909,,,1,
StopArea:OCE87765479,"gare de L'Isle-s-Sorgue - Font",,43.91735006,5.04760105,,,1,
StopArea:OCE87765503,"gare de Cavaillon",,43.83452283,5.04365807,,,1,
StopArea:OCE87753707,"gare de Orgon",,43.78591689,5.04569638,,,1,
StopArea:OCE87753715,"gare de Sénas",,43.74097207,5.0733447,,,1,
StopArea:OCE87753731,"gare de Lamanon",,43.6999983,5.09130994,,,1,
